index,critic_score,user_score,rating,year
10,83.0,7.6,E,2005.0
20,85.0,8.3,E,2007.0
25,82.0,9.1,E,2003.0
27,87.0,8.0,E,2011.0
31,81.0,4.6,M,2015.0
33,87.0,8.6,E,2013.0
45,94.0,9.2,E,1996.0
46,87.0,9.1,E,2010.0
47,83.0,8.4,E,2014.0
58,81.0,9.1,E,2004.0
59,85.0,8.3,E,2004.0
63,83.0,8.7,E,1997.0
72,82.0,7.2,E10+,2012.0
82,96.0,9.2,T,1997.0
83,80.0,8.6,E,2012.0
86,67.0,7.7,E,2007.0
87,73.0,5.0,T,2015.0
93,99.0,9.1,E,1998.0
96,85.0,8.5,E10+,2014.0
99,81.0,4.4,M,2015.0
108,86.0,7.8,E,2016.0
112,87.0,8.5,E,2003.0
115,91.0,8.9,E,1998.0
119,,,E,2010.0
122,90.0,7.2,E,2011.0
158,79.0,8.8,E,1999.0
167,92.0,9.1,E,2002.0
168,78.0,8.4,E,2001.0
178,90.0,8.6,E,1999.0
180,86.0,6.6,E10+,2013.0
182,85.0,10.0,T,1997.0
183,94.0,8.5,E,2003.0
184,71.0,7.6,E,2014.0
187,94.0,9.3,E,2003.0
198,70.0,6.9,E,2008.0
207,91.0,8.8,E,2000.0
210,59.0,8.5,E,2008.0
214,88.0,8.3,E,1997.0
216,92.0,9.0,E10+,2014.0
225,95.0,9.0,M,2014.0
226,78.0,8.7,T,2003.0
237,72.0,7.3,E,2009.0
244,78.0,8.5,T,2001.0
255,,4.7,M,2014.0
259,94.0,8.8,E10+,2011.0
261,89.0,6.4,E10+,2014.0
263,,4.8,M,2014.0
264,,4.4,E,2014.0
278,90.0,6.7,E,2011.0
282,77.0,6.8,E,2000.0
291,,8.2,E,2006.0
299,88.0,8.9,E,1997.0
301,61.0,6.5,E10+,2005.0
318,71.0,7.1,E,2011.0
327,91.0,9.0,M,1996.0
328,90.0,8.7,E,2009.0
333,66.0,7.2,E,2011.0
340,,,E,2009.0
342,75.0,4.5,T,2015.0
345,92.0,9.2,E,1998.0
348,77.0,7.5,E,1999.0
354,83.0,8.9,M,1994.0
359,,5.8,E10+,2013.0
361,90.0,8.3,T,2000.0
365,76.0,8.3,T,1998.0
367,78.0,6.1,E,2005.0
370,91.0,8.8,E,2000.0
377,84.0,6.4,E,2003.0
382,76.0,7.0,E,2009.0
385,86.0,8.7,T,2015.0
400,95.0,9.2,E,2000.0
405,88.0,8.8,T,2002.0
406,85.0,8.1,T,2016.0
419,89.0,9.0,T,1996.0
425,90.0,8.3,T,2000.0
437,,7.9,E,2008.0
440,88.0,10.0,E,1998.0
441,84.0,8.3,T,2000.0
456,74.0,7.8,E10+,2008.0
464,62.0,6.6,E,2002.0
468,82.0,8.7,T,2002.0
475,84.0,8.3,T,2005.0
486,92.0,8.1,E,1996.0
488,84.0,8.3,T,2005.0
494,,4.2,E,2014.0
495,91.0,9.2,E,2002.0
504,90.0,8.7,T,1999.0
505,,7.7,E,2007.0
506,90.0,8.8,E,2000.0
510,90.0,8.8,T,1996.0
512,65.0,7.4,E,1998.0
515,80.0,8.7,T,2004.0
519,,6.7,E,2003.0
520,,,T,2011.0
524,,7.6,E,2007.0
525,85.0,8.9,T,2003.0
527,81.0,8.9,M,1998.0
528,76.0,7.0,T,2001.0
532,79.0,7.9,T,2013.0
535,90.0,9.1,T,2003.0
543,88.0,6.8,E10+,2014.0
549,78.0,8.4,E,2001.0
552,,3.0,E,2015.0
555,79.0,7.8,E,1999.0
576,93.0,9.2,E,2001.0
596,,9.4,T,2004.0
599,89.0,8.8,E10+,2007.0
600,70.0,7.7,E,2010.0
603,79.0,8.5,T,2009.0
613,97.0,8.9,M,2000.0
617,72.0,8.5,E,2008.0
618,79.0,7.8,E,1999.0
620,96.0,8.0,M,2003.0
624,76.0,8.3,T,1998.0
627,92.0,8.1,T,2007.0
637,83.0,10.0,E,1997.0
639,66.0,7.3,T,2015.0
645,71.0,,E,2010.0
646,87.0,8.4,M,2013.0
651,86.0,9.0,M,2000.0
656,,9.0,,1997.0
657,73.0,,E,2001.0
662,48.0,5.8,T,2000.0
663,59.0,7.9,E,2003.0
678,78.0,6.6,E10+,2008.0
683,91.0,9.0,E,2000.0
684,70.0,8.0,T,1999.0
691,81.0,8.1,E,2005.0
718,,,E,2010.0
719,69.0,6.7,T,2006.0
721,,7.4,M,2013.0
726,,,E10+,2009.0
732,91.0,8.9,M,2007.0
735,87.0,8.9,M,2006.0
755,90.0,9.3,E,2003.0
756,85.0,8.7,T,1998.0
763,90.0,8.6,T,1999.0
766,,6.3,E10+,2013.0
781,84.0,9.1,E,2001.0
783,77.0,7.6,E,2009.0
788,85.0,8.2,E,2001.0
789,69.0,8.2,E,2002.0
794,69.0,7.3,E,2000.0
796,63.0,5.6,E,2003.0
798,77.0,7.8,E10+,2015.0
805,80.0,6.3,T,2008.0
807,81.0,8.1,E10+,2013.0
811,48.0,6.9,T,2001.0
815,81.0,9.0,E,2002.0
818,86.0,8.5,E,2010.0
819,,5.3,E10+,2010.0
820,67.0,9.0,E,2006.0
821,55.0,2.0,E,2004.0
824,85.0,7.7,M,2010.0
828,78.0,7.9,T,2009.0
829,,5.5,E,2014.0
831,,7.5,E,2010.0
838,85.0,8.5,E,2007.0
850,,,E10+,2014.0
